"rate_mode","physical_rate_khz","bandwidth_khz","super_frame_num","tested_combinations","normal_combinations","fallback_combinations","max_supported_ul_dl_sum"
"7","8","250","88","256","0","256","0"
"7","8","250","89","256","0","256","0"
"7","8","250","90","256","0","256","0"
"7","8","250","91","256","0","256","0"
"7","8","250","92","256","0","256","0"
"7","8","250","93","256","0","256","0"
"7","8","250","94","256","0","256","0"
"7","8","250","95","256","0","256","0"
"7","8","250","96","256","0","256","0"
"7","8","250","97","256","0","256","0"
"7","8","250","98","256","0","256","0"
"7","8","250","99","256","0","256","0"
"7","8","250","100","256","0","256","0"
"8","16","500","1","256","256","0","32"
"8","16","500","2","256","256","0","32"
"8","16","500","3","256","256","0","32"
"8","16","500","4","256","256","0","32"
"8","16","500","5","256","256","0","32"
"8","16","500","6","256","256","0","32"
"8","16","500","7","256","235","21","26"
"8","16","500","8","256","256","0","32"
"8","16","500","9","256","235","21","26"
"8","16","500","10","256","235","21","26"
"8","16","500","11","256","0","256","0"
"8","16","500","12","256","151","105","18"
"8","16","500","13","256","0","256","0"
"8","16","500","14","256","45","211","10"
"8","16","500","15","256","78","178","13"
"8","16","500","16","256","91","165","14"
"8","16","500","17","256","0","256","0"
"8","16","500","18","256","45","211","10"
"8","16","500","19","256","0","256","0"
"8","16","500","20","256","45","211","10"
"8","16","500","21","256","0","256","0"
"8","16","500","22","256","0","256","0"
"8","16","500","23","256","0","256","0"
"8","16","500","24","256","15","241","6"
"8","16","500","25","256","21","235","7"
"8","16","500","26","256","0","256","0"
"8","16","500","27","256","0","256","0"
"8","16","500","28","256","3","253","3"
"8","16","500","29","256","0","256","0"
"8","16","500","30","256","6","250","4"
"8","16","500","31","256","0","256","0"
"8","16","500","32","256","10","246","5"
"8","16","500","33","256","0","256","0"
"8","16","500","34","256","0","256","0"
"8","16","500","35","256","0","256","0"
"8","16","500","36","256","3","253","3"
"8","16","500","37","256","0","256","0"
"8","16","500","38","256","0","256","0"
"8","16","500","39","256","0","256","0"
"8","16","500","40","256","3","253","3"
"8","16","500","41","256","0","256","0"
"8","16","500","42","256","0","256","0"
"8","16","500","43","256","0","256","0"
"8","16","500","44","256","0","256","0"
"8","16","500","45","256","0","256","0"
"8","16","500","46","256","0","256","0"
"8","16","500","47","256","0","256","0"
"8","16","500","48","256","0","256","0"
"8","16","500","49","256","0","256","0"
"8","16","500","50","256","0","256","0"
"8","16","500","51","256","0","256","0"
"8","16","500","52","256","0","256","0"
"8","16","500","53","256","0","256","0"
"8","16","500","54","256","0","256","0"
"8","16","500","55","256","0","256","0"
"8","16","500","56","256","0","256","0"
"8","16","500","57","256","0","256","0"
"8","16","500","58","256","0","256","0"
"8","16","500","59","256","0","256","0"
