"rate_mode","physical_rate_khz","bandwidth_khz","super_frame_num","brd_blocks","ul_blocks","dl_blocks","total_ul_dl_blocks","raw_period_us","frame_period_us","frame_count","added_gap_us","normal_solution","total_duration_us"
"5","2","62.5","1","2","9","12","21","6603167","7000000","1","396833","1","7000000"
"5","2","62.5","1","2","9","13","22","6865311","7000000","1","134689","1","7000000"
"5","2","62.5","1","2","9","14","23","7127455","8000000","1","872545","1","8000000"
"5","2","62.5","1","2","9","15","24","7389599","8000000","1","610401","1","8000000"
"5","2","62.5","1","2","9","16","25","7651743","8000000","1","348257","1","8000000"
"5","2","62.5","1","2","10","1","11","3981727","4000000","1","18273","1","4000000"
"5","2","62.5","1","2","10","2","12","4243871","4500000","2","256129","1","9000000"
"5","2","62.5","1","2","10","3","13","4506015","5000000","1","493985","1","5000000"
"5","2","62.5","1","2","10","4","14","4768159","5000000","1","231841","1","5000000"
"5","2","62.5","1","2","10","5","15","5030303","6000000","1","969697","1","6000000"
"5","2","62.5","1","2","10","6","16","5292447","6000000","1","707553","1","6000000"
"5","2","62.5","1","2","10","7","17","5554591","6000000","1","445409","1","6000000"
"5","2","62.5","1","2","10","8","18","5816735","6000000","1","183265","1","6000000"
"5","2","62.5","1","2","10","9","19","6078879","7000000","1","921121","1","7000000"
"5","2","62.5","1","2","10","10","20","6341023","7000000","1","658977","1","7000000"
"5","2","62.5","1","2","10","11","21","6603167","7000000","1","396833","1","7000000"
"5","2","62.5","1","2","10","12","22","6865311","7000000","1","134689","1","7000000"
"5","2","62.5","1","2","10","13","23","7127455","8000000","1","872545","1","8000000"
"5","2","62.5","1","2","10","14","24","7389599","8000000","1","610401","1","8000000"
"5","2","62.5","1","2","10","15","25","7651743","8000000","1","348257","1","8000000"
"5","2","62.5","1","2","10","16","26","7913887","8000000","1","86113","1","8000000"
"5","2","62.5","1","2","11","1","12","4243871","4500000","2","256129","1","9000000"
"5","2","62.5","1","2","11","2","13","4506015","5000000","1","493985","1","5000000"
"5","2","62.5","1","2","11","3","14","4768159","5000000","1","231841","1","5000000"
"5","2","62.5","1","2","11","4","15","5030303","6000000","1","969697","1","6000000"
"5","2","62.5","1","2","11","5","16","5292447","6000000","1","707553","1","6000000"
"5","2","62.5","1","2","11","6","17","5554591","6000000","1","445409","1","6000000"
"5","2","62.5","1","2","11","7","18","5816735","6000000","1","183265","1","6000000"
"5","2","62.5","1","2","11","8","19","6078879","7000000","1","921121","1","7000000"
"5","2","62.5","1","2","11","9","20","6341023","7000000","1","658977","1","7000000"
"5","2","62.5","1","2","11","10","21","6603167","7000000","1","396833","1","7000000"
"5","2","62.5","1","2","11","11","22","6865311","7000000","1","134689","1","7000000"
"5","2","62.5","1","2","11","12","23","7127455","8000000","1","872545","1","8000000"
"5","2","62.5","1","2","11","13","24","7389599","8000000","1","610401","1","8000000"
"5","2","62.5","1","2","11","14","25","7651743","8000000","1","348257","1","8000000"
"5","2","62.5","1","2","11","15","26","7913887","8000000","1","86113","1","8000000"
"5","2","62.5","1","2","11","16","27","8176031","9000000","1","823969","1","9000000"
"5","2","62.5","1","2","12","1","13","4506015","5000000","1","493985","1","5000000"
"5","2","62.5","1","2","12","2","14","4768159","5000000","1","231841","1","5000000"
"5","2","62.5","1","2","12","3","15","5030303","6000000","1","969697","1","6000000"
"5","2","62.5","1","2","12","4","16","5292447","6000000","1","707553","1","6000000"
"5","2","62.5","1","2","12","5","17","5554591","6000000","1","445409","1","6000000"
"5","2","62.5","1","2","12","6","18","5816735","6000000","1","183265","1","6000000"
"5","2","62.5","1","2","12","7","19","6078879","7000000","1","921121","1","7000000"
"5","2","62.5","1","2","12","8","20","6341023","7000000","1","658977","1","7000000"
"5","2","62.5","1","2","12","9","21","6603167","7000000","1","396833","1","7000000"
"5","2","62.5","1","2","12","10","22","6865311","7000000","1","134689","1","7000000"
"5","2","62.5","1","2","12","11","23","7127455","8000000","1","872545","1","8000000"
"5","2","62.5","1","2","12","12","24","7389599","8000000","1","610401","1","8000000"
"5","2","62.5","1","2","12","13","25","7651743","8000000","1","348257","1","8000000"
"5","2","62.5","1","2","12","14","26","7913887","8000000","1","86113","1","8000000"
"5","2","62.5","1","2","12","15","27","8176031","9000000","1","823969","1","9000000"
"5","2","62.5","1","2","12","16","28","8438175","9000000","1","561825","1","9000000"
"5","2","62.5","1","2","13","1","14","4768159","5000000","1","231841","1","5000000"
"5","2","62.5","1","2","13","2","15","5030303","6000000","1","969697","1","6000000"
"5","2","62.5","1","2","13","3","16","5292447","6000000","1","707553","1","6000000"
"5","2","62.5","1","2","13","4","17","5554591","6000000","1","445409","1","6000000"
"5","2","62.5","1","2","13","5","18","5816735","6000000","1","183265","1","6000000"
"5","2","62.5","1","2","13","6","19","6078879","7000000","1","921121","1","7000000"
"5","2","62.5","1","2","13","7","20","6341023","7000000","1","658977","1","7000000"
"5","2","62.5","1","2","13","8","21","6603167","7000000","1","396833","1","7000000"
"5","2","62.5","1","2","13","9","22","6865311","7000000","1","134689","1","7000000"
"5","2","62.5","1","2","13","10","23","7127455","8000000","1","872545","1","8000000"
"5","2","62.5","1","2","13","11","24","7389599","8000000","1","610401","1","8000000"
"5","2","62.5","1","2","13","12","25","7651743","8000000","1","348257","1","8000000"
"5","2","62.5","1","2","13","13","26","7913887","8000000","1","86113","1","8000000"
"5","2","62.5","1","2","13","14","27","8176031","9000000","1","823969","1","9000000"
"5","2","62.5","1","2","13","15","28","8438175","9000000","1","561825","1","9000000"
"5","2","62.5","1","2","13","16","29","8700319","9000000","1","299681","1","9000000"
"5","2","62.5","1","2","14","1","15","5030303","6000000","1","969697","1","6000000"
"5","2","62.5","1","2","14","2","16","5292447","6000000","1","707553","1","6000000"
"5","2","62.5","1","2","14","3","17","5554591","6000000","1","445409","1","6000000"
"5","2","62.5","1","2","14","4","18","5816735","6000000","1","183265","1","6000000"
"5","2","62.5","1","2","14","5","19","6078879","7000000","1","921121","1","7000000"
"5","2","62.5","1","2","14","6","20","6341023","7000000","1","658977","1","7000000"
"5","2","62.5","1","2","14","7","21","6603167","7000000","1","396833","1","7000000"
"5","2","62.5","1","2","14","8","22","6865311","7000000","1","134689","1","7000000"
"5","2","62.5","1","2","14","9","23","7127455","8000000","1","872545","1","8000000"
"5","2","62.5","1","2","14","10","24","7389599","8000000","1","610401","1","8000000"
